ZIP,State,County,Date Sent,Assigned List,Assigned Agency,Report Month,Estimated Population,Estimated Lead Volume
36832,AL,Auburn Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,145.0,145.0
35222,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,40.0,40.0
36580,AL,Summerdale Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,37.0,37.0
36874,AL,Salem Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,54.0,54.0
35650,AL,Moulton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,31.0,31.0
35218,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,28.0,28.0
36853,AL,Dadeville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,174.0,174.0
35582,AL,Red Bay Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,12.0,12.0
36264,AL,Heflin Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,27.0,27.0
36863,AL,Lanett Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,35.0,35.0
36572,AL,Satsuma Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,12.0,12.0
35748,AL,Gurley Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,39.0,39.0
34219,FL,Parrish Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,376.0,376.0
32583,FL,Milton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,187.0,187.0
32571,FL,Milton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,218.0,218.0
33844,FL,Haines City Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,422.0,422.0
34638,FL,Land O Lakes Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,218.0,218.0
32563,FL,Gulf Breeze Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,196.0,196.0
32259,FL,Saint Johns Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,320.0,320.0
34609,FL,Spring Hill Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,255.0,255.0
32533,FL,Cantonment Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,168.0,168.0
32703,FL,Apopka Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,168.0,168.0
32907,FL,Palm Bay Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,258.0,258.0
32940,FL,Melbourne Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,302.0,302.0
34211,FL,Bradenton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,358.0,358.0
32539,FL,Crestview Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,215.0,215.0
32256,FL,Jacksonville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,228.0,228.0
34953,FL,Port Saint Lucie Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,418.0,418.0
32608,FL,Gainesville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,241.0,241.0
32526,FL,Pensacola Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,196.0,196.0
34787,FL,Winter Garden Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,627.0,627.0
32244,FL,Jacksonville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,184.0,184.0
34758,FL,Kissimmee Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,225.0,225.0
32712,FL,Apopka Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,220.0,220.0
32327,FL,Crawfordville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,171.0,171.0
32566,FL,Navarre Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,330.0,330.0
33837,FL,Davenport Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,610.0,610.0
