State,County,ZIP,ZIP Score,Pending Ratio,Active Listing Count,Pending Listing Count,Estimated Population,Estimated Lead Volume,Median Listing Price,Median Days on Market,Price Decrease Count,Recommended Home Value Range,Last Used Date,Eligible Based on Cooldown,Manual Review Flag
AL,Prattville Zip Market,36067,59.15,0.6470588235294118,51,33.0,51.0,51.0,326050.0,56.0,16.0,$171k-$350k,,True,
AL,Birmingham Zip Market,35210,58.46,0.45098039215686275,51,23.0,51.0,51.0,318725.0,33.0,22.0,$167k-$350k,,True,
AL,Scottsboro Zip Market,35769,27.44,0.32,50,16.0,50.0,50.0,503925.0,99.0,8.0,$265k-$350k,,True,
AL,Deatsville Zip Market,36022,61.56,0.8163265306122449,49,40.0,49.0,49.0,343925.0,47.0,20.0,$181k-$350k,,True,
AL,Sheffield Zip Market,35660,48.24,0.2653061224489796,49,13.0,49.0,49.0,171375.0,46.0,16.0,$90k-$235k,,True,
AL,Montgomery Zip Market,36107,38.28,0.20408163265306123,49,10.0,49.0,49.0,95600.0,84.0,14.0,$75k-$131k,,True,
AL,Lincoln Zip Market,35096,60.97,1.125,48,54.0,48.0,48.0,259823.0,81.0,16.0,$136k-$350k,,True,
AL,Birmingham Zip Market,35214,57.66,0.723404255319149,47,34.0,47.0,47.0,147975.0,78.0,12.0,$78k-$203k,,True,
AL,Birmingham Zip Market,35228,53.76,0.5319148936170213,47,25.0,47.0,47.0,99188.0,73.0,8.0,$75k-$136k,,True,
AL,Birmingham Zip Market,35243,45.49,0.48936170212765956,47,23.0,47.0,47.0,699900.0,26.0,12.0,$367k-$350k,,True,
AL,Troy Zip Market,36081,35.31,0.10638297872340426,47,5.0,47.0,47.0,263750.0,75.0,6.0,$138k-$350k,,True,
AL,Birmingham Zip Market,35212,51.27,0.4782608695652174,46,22.0,46.0,46.0,189450.0,104.0,16.0,$99k-$260k,,True,
AL,Montgomery Zip Market,36105,43.51,0.3695652173913043,46,17.0,46.0,46.0,72625.0,79.0,20.0,$75k-$99k,,True,
AL,Wetumpka Zip Market,36092,65.07,0.9555555555555556,45,43.0,45.0,45.0,306700.0,40.0,22.0,$161k-$350k,,True,
AL,Moody Zip Market,35004,60.02,0.7333333333333333,45,33.0,45.0,45.0,325400.0,54.0,20.0,$171k-$350k,,True,
AL,Lillian Zip Market,36549,45.57,0.35555555555555557,45,16.0,45.0,45.0,330075.0,70.0,20.0,$173k-$350k,,True,
AL,Prattville Zip Market,36066,63.33,1.7727272727272727,44,78.0,44.0,44.0,359725.0,43.0,28.0,$189k-$350k,,True,
AL,Gurley Zip Market,35748,40.78,0.5,44,22.0,44.0,44.0,686750.0,69.0,22.0,$361k-$350k,,True,
AL,Gardendale Zip Market,35071,56.67,0.6976744186046512,43,30.0,43.0,43.0,305975.0,67.0,14.0,$161k-$350k,,True,
AL,Florence Zip Market,35634,47.08,0.5,42,21.0,42.0,42.0,444850.0,51.0,18.0,$234k-$350k,,True,
AL,Columbiana Zip Market,35051,50.85,0.6585365853658537,41,27.0,41.0,41.0,408500.0,57.0,14.0,$214k-$350k,,True,
AL,Birmingham Zip Market,35217,49.12,0.43902439024390244,41,18.0,41.0,41.0,99025.0,79.0,12.0,$75k-$136k,,True,
AL,Scottsboro Zip Market,35768,41.68,0.2682926829268293,41,11.0,41.0,41.0,252500.0,68.0,12.0,$133k-$346k,,True,
AL,Grand Bay Zip Market,36541,55.71,0.8,40,32.0,40.0,40.0,325312.0,79.0,26.0,$171k-$350k,,True,
AL,Bremen Zip Market,35033,20.98,0.1,40,4.0,40.0,40.0,868000.0,71.0,14.0,$456k-$350k,,True,
AL,Oneonta Zip Market,35121,37.88,0.28205128205128205,39,11.0,39.0,39.0,369250.0,66.0,18.0,$194k-$350k,,True,
AL,Moulton Zip Market,35650,39.79,0.23684210526315788,38,9.0,38.0,38.0,324950.0,59.0,20.0,$171k-$350k,,True,
AL,Birmingham Zip Market,35203,31.74,0.13157894736842105,38,5.0,38.0,38.0,316150.0,78.0,10.0,$166k-$350k,,True,
AL,Mobile Zip Market,36618,55.69,0.5675675675675675,37,21.0,37.0,37.0,201125.0,65.0,16.0,$106k-$276k,,True,
AL,Summerdale Zip Market,36580,42.42,0.5135135135135135,37,19.0,37.0,37.0,394163.0,69.0,2.0,$207k-$350k,,True,
